Opportunity ID #;OG;Industry Segment;ToW;Closed Quarter;IC  -  Net Revenue;MC  -  Net Revenue;SC  -  Net Revenue;SI  -  Net Revenue;TC  -  Net Revenue;AO  -  Net Revenue;BPO  -  Net Revenue;IO  -  Net Revenue;Responsible Business Entity;Contract Extension Flag;Software Delivery;Client Location
10564484;Communications, Media & Technology;CMT C&M;O;FY16Q3;S;S;S;S;S;S;S;S;Operations;Y;N;France
10564514;Financial Services;FS Insurance;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;Belgium
10564519;Resources;RS Energy;O;FY16Q3;S;S;S;S;S;S;S;S;Operations;Y;N;France
10564520;Resources;RS Util;O;FY16Q4;S;S;S;S;S;M;S;S;Technology;N;N;France
10564543;Health & Public Service;H&PS Citizen Service;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;Belgium
10564565;Products;PD Retail;C;FY16Q3;S;S;S;S;S;S;S;S;OG;N;N;France
10564594;Products;PD Con Goods & Srvcs;C;FY16Q3;S;S;S;S;S;S;S;S;OG;N;N;Belgium
10564623;Products;PD Transp Svc;C;FY16Q3;S;S;M;S;S;S;S;S;Strategy;Y;N;France
10564660;Financial Services;FS Capital Markets;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;France
10564678;Financial Services;FS Banking;O;FY16Q4;S;S;S;S;S;XL;S;S;Technology;N;Y;Netherlands
10564691;Health & Public Service;H&PS Citizen Service;C;FY16Q3;S;S;S;S;S;S;S;S;Technology;Y;N;France
10564828;Resources;RS Nat Res;C;FY16Q3;S;S;S;S;S;S;S;S;Technology;Y;Y;Belgium
10564837;Financial Services;FS Banking;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;France
10564864;Resources;RS Util;C;FY16Q4;S;S;S;M;S;S;S;S;Digital;N;N;Netherlands
10564892;Financial Services;FS Insurance;C;FY16Q3;S;S;S;L;S;S;S;S;Technology;Y;N;France
10564896;Products;PD Retail;C;FY16Q4;S;S;S;S;S;S;S;S;Strategy;N;N;France
10564903;Financial Services;FS Capital Markets;O;FY16Q3;S;S;S;S;S;M;S;S;Technology;Y;N;France
10564909;Communications, Media & Technology;CMT C&M;C;FY16Q3;S;S;S;S;S;S;S;S;Strategy;N;N;Netherlands
10564929;Financial Services;FS Banking;C;FY16Q3;S;S;S;S;S;S;S;S;OG;Y;N;Netherlands
10564930;Financial Services;FS Insurance;C;FY16Q3;S;S;S;M;S;S;S;S;Digital;Y;N;France
10564955;Financial Services;FS Banking;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;Netherlands
10564961;Products;PD Transp Svc;O;FY16Q4;S;S;S;S;S;S;S;S;Operations;N;N;France
10564968;Resources;RS Util;C;FY16Q3;S;S;M;S;S;S;S;S;Strategy;N;N;Netherlands
10564971;Financial Services;FS Banking;C;FY16Q3;S;S;S;S;S;S;S;S;Technology;N;N;Luxembourg
10564989;Products;PD Con Goods & Srvcs;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;Belgium
